OID_,name,count,code
521,Kirkwall and St Ola,32,521
522,Kirriemuir,3,522
523,Knockando,0,523
524,Knockbain,0,524
525,Lady,0,525
526,Ladykirk,0,526
527,Laggan,0,527
528,Lairg,0,528
529,Lamington and Wandel,0,529
530,Lanark,14,530
531,Langholm,0,531
532,Langton,3,532
533,Larbert,1,533
534,Largo,2,534
535,Largs,15,535
536,Lasswade,11,536
537,Latheron,2,537
538,Lauder,21,538
539,Laurencekirk,0,539
540,Legerwood,3,540
541,Leochel-Cushnie,0,541
542,Lerwick,12,542
543,Leslie (Fife),0,543
544,Leslie (Aberdeenshire),0,544
545,Lesmahagow,2,545
546,Leswalt,0,546
547,Lethendy,0,547
548,Lethnot and Navar,0,548
549,Leuchars,1,549
550,Libberton,43,550
551,Liff and Benvie,0,551
552,Lilliesleaf,2,552
553,Linlithgow,12,553
554,Linton,7,554
555,Lintrathen,0,555
556,Lismore and Appin,0,556
557,Little Dunkeld,0,557
558,Livingston,3,558
559,Lochalsh,0,559
560,Lochbroom,35,560
561,Lochcarron,0,561
562,Lochgoilhead and Kilmorich,0,562
563,Lochlee,0,563
564,Lochmaben,1,564
565,Lochrutton,3,565
566,Lochs,0,566
567,Lochwinnoch,2,567
568,Logie (Stirling),2,568
569,Logie (Fife),0,569
570,Logie Buchan,0,570
571,Logie Easter,3,571
572,Logie Pert,0,572
573,Logie-Coldstone,3,573
574,Logiealmond,0,574
575,Logierait,0,575
576,Longforgan,0,576
577,Longformacus,0,577
578,Longside,2,578
579,Lonmay,0,579
580,Loth,0,580
581,Loudoun,0,581
582,Lumphanan,12,582
583,Lunan,0,583
584,Lundie,3,584
585,Luss,2,585
586,Lyne,3,586
587,Madderty,0,587
588,Mains and Strathmartine,0,588
589,Makerstoun,0,589
590,Manor,2,590
591,Markinch,1,591
592,Marnoch,0,592
593,Maryculter,0,593
594,Marykirk,0,594
595,Maryton,0,595
596,Mauchline,5,596
597,Maxton,2,597
598,Maybole,1,598
599,Mearns,0,599
600,Meigle,0,600
601,Meldrum,0,601
602,Melrose,5,602
603,Menmuir,2,603
604,Mertoun,2,604
605,Methlick,1,605
606,Methven,4,606
607,Mid Calder,5,607
