OID_,name,code,Population,Shape_Leng,Shape_Area
164,Glenmavis,S20001761,2200.000000000000000,4559.580500037233833,500645.021951904811431
165,Caldercruix,S20001621,2610.000000000000000,4533.935381098883227,606853.279656688333489
166,Gifford,S20001755,790.000000000000000,5478.127800638571898,661997.039222317631356
167,Gartcosh,S20001751,2920.000000000000000,5552.605161876402235,732853.610866100178100
168,East Calder,S20001708,6430.000000000000000,13578.560426225712945,2695057.187338411808014
169,Glenboig,S20001758,2990.000000000000000,10236.596371695659400,811429.863376540481113
170,Pencaitland,S20001933,1480.000000000000000,7251.200940400149193,612695.757270408561453
171,Ormiston,S20001928,2110.000000000000000,3727.640455698181995,596622.585690715466626
172,Tarbert,S20002008,1120.000000000000000,10744.595318199601024,886840.938682585139759
173,Armadale,S20001564,12720.000000000000000,14358.280947871364333,2918204.673350553028286
174,Danderhall,S20001676,3160.000000000000000,4263.147292789482890,706300.464635737123899
175,Bathgate,S20001587,29330.000000000000000,29257.172687910930108,10440720.478652896359563
176,Whitecraig,S20002043,1330.000000000000000,2464.121393166911275,313863.284804239752702
177,Livingston,S20001857,65770.000000000000000,49885.676948348809674,30971625.886952646076679
178,Elphinstone,S20001719,590.000000000000000,2263.089034971811543,147284.685088192985859
179,Skelmorlie,S20001975,2060.000000000000000,6641.261227632465307,1003957.506956986850128
180,Kilmacolm,S20001808,3930.000000000000000,14022.742083620152698,1925940.857832311652601
181,Auchinloch,S20001567,880.000000000000000,3453.612237585497041,219924.972695640113670
182,Wattston and Greengairs,S20002035,1080.000000000000000,9308.879153161933573,678243.227350154658780
183,Dechmont,S20001679,620.000000000000000,2894.164585528420957,213424.118813784094527
184,Ratho,S20001954,2230.000000000000000,5714.767282874361626,705739.057546192198060
185,Moodiesburn and Chryston,S20001893,11760.000000000000000,20624.733409084445157,3443924.449483399745077
186,Bishopton,S20001593,7920.000000000000000,9844.232873286000540,2298730.381970722693950
187,Inverkip,S20001794,3490.000000000000000,10823.135789669751830,1227195.731530758086592
188,Torphichen,S20002021,710.000000000000000,6131.438137819001895,378384.575643201183993
189,Macmerry,S20001875,1430.000000000000000,5712.688825653550339,657933.596106016775593
190,Avonbridge,S20001573,660.000000000000000,3461.943147500100622,211174.763530197669752
191,Broxburn,S20001613,15970.000000000000000,15943.300335241157882,5317887.611839679069817
192,Tranent,S20002025,11910.000000000000000,9860.207448348732214,2805818.712533996906132
193,Slamannan,S20001976,1180.000000000000000,6065.085915342575390,440637.804788986511994
194,Tighnabruaich,S20002018,550.000000000000000,14888.039459732810428,1784206.690939177060500
195,Haddington,S20001771,10360.000000000000000,12995.923836815185496,3598661.265498200897127
196,Newbridge and Ratho Station,S20001909,1270.000000000000000,21461.431711542623816,7826575.622531321831048
197,Torrance,S20002023,2320.000000000000000,7357.690588068762736,692515.278086512233131
198,Kirkintilloch,S20001831,29960.000000000000000,26986.116367078651820,8959306.568834977224469
199,Prestonpans,S20001951,10460.000000000000000,10435.021760726447610,2443470.203098082914948
200,Kirkliston,S20001832,5280.000000000000000,5656.224768353390573,1295204.322570446878672
201,Winchburgh,S20002050,3840.000000000000000,8489.597185042324782,1031989.010688375099562
202,Twechar,S20002029,1340.000000000000000,4458.982700159997876,487181.103650482778903
203,Greater Glasgow,S20001766,1028220.000000000000000,340270.641686790564563,274424241.437649309635162
204,Erskine,S20001721,16830.000000000000000,27855.176840426545823,11927241.384801072999835
205,Bridgend,S20001609,780.000000000000000,3918.323108098380544,290404.988500725768972
206,Cockenzie,S20001645,5370.000000000000000,8044.673518122425776,1298154.395891599357128
207,California,S20001622,780.000000000000000,4526.103053812142207,279189.561552243074402
