year,commodity,port,value,type,unit,quantity
1776,Broadcloth,Penang,0,export,cloths,0
1776,Broadcloth,Java,0,export,cloths,0
1777,Broadcloth,Bengal,37378,export,cloths,2381
1777,Broadcloth,Madras,13310,export,cloths,875
1777,Broadcloth,Bombay,26518,export,cloths,1670
1777,Broadcloth,St_Helena,199,export,cloths,9
1777,Broadcloth,Benkulen,615,export,cloths,24
1777,Broadcloth,China,44868,export,cloths,2239
1777,Broadcloth,Angola,0,export,cloths,0
1777,Broadcloth,Penang,0,export,cloths,0
1777,Broadcloth,Java,0,export,cloths,0
1778,Broadcloth,Bengal,16623,export,cloths,1028
1778,Broadcloth,Madras,24560,export,cloths,1520
1778,Broadcloth,Bombay,32937,export,cloths,2036
1778,Broadcloth,St_Helena,379,export,cloths,17
1778,Broadcloth,Benkulen,568,export,cloths,27
1778,Broadcloth,China,51127,export,cloths,2519
1778,Broadcloth,Angola,0,export,cloths,0
1778,Broadcloth,Penang,0,export,cloths,0
1778,Broadcloth,Java,0,export,cloths,0
1779,Broadcloth,Bengal,22258,export,cloths,1388
1779,Broadcloth,Madras,15700,export,cloths,1014
1779,Broadcloth,Bombay,39813,export,cloths,2537
1779,Broadcloth,St_Helena,235,export,cloths,11
1779,Broadcloth,Benkulen,110,export,cloths,6
1779,Broadcloth,China,43968,export,cloths,2178
1779,Broadcloth,Angola,0,export,cloths,0
1779,Broadcloth,Penang,0,export,cloths,0
1779,Broadcloth,Java,0,export,cloths,0
1780,Broadcloth,Bengal,40382,export,cloths,2775
1780,Broadcloth,Madras,13874,export,cloths,906
1780,Broadcloth,Bombay,37032,export,cloths,2317
1780,Broadcloth,St_Helena,764,export,cloths,33
1780,Broadcloth,Benkulen,122,export,cloths,10
1780,Broadcloth,China,44107,export,cloths,2205
1780,Broadcloth,Angola,0,export,cloths,0
1780,Broadcloth,Penang,0,export,cloths,0
1780,Broadcloth,Java,0,export,cloths,0
1781,Broadcloth,Bengal,20022,export,cloths,1358
1781,Broadcloth,Madras,22370,export,cloths,1443
1781,Broadcloth,Bombay,0,export,cloths,0
1781,Broadcloth,St_Helena,424,export,cloths,17
1781,Broadcloth,Benkulen,173,export,cloths,13
1781,Broadcloth,China,45606,export,cloths,2202
1781,Broadcloth,Angola,0,export,cloths,0
1781,Broadcloth,Penang,0,export,cloths,0
1781,Broadcloth,Java,0,export,cloths,0
1782,Broadcloth,Bengal,61240,export,cloths,4007
1782,Broadcloth,Madras,20665,export,cloths,1396
1782,Broadcloth,Bombay,44119,export,cloths,2826
1782,Broadcloth,St_Helena,0,export,cloths,0
1782,Broadcloth,Benkulen,0,export,cloths,0
1782,Broadcloth,China,38074,export,cloths,1793
1782,Broadcloth,Angola,0,export,cloths,0
1782,Broadcloth,Penang,0,export,cloths,0
1782,Broadcloth,Java,0,export,cloths,0
1783,Broadcloth,Bengal,54745,export,cloths,3544
1783,Broadcloth,Madras,24084,export,cloths,1595
1783,Broadcloth,Bombay,91722,export,cloths,5900
1783,Broadcloth,St_Helena,553,export,cloths,22
1783,Broadcloth,Benkulen,0,export,cloths,0
1783,Broadcloth,China,37003,export,cloths,1822
1783,Broadcloth,Angola,0,export,cloths,0
1783,Broadcloth,Penang,0,export,cloths,0
1783,Broadcloth,Java,0,export,cloths,0
1784,Broadcloth,Bengal,32508,export,cloths,2102
1784,Broadcloth,Madras,22524,export,cloths,1518
1784,Broadcloth,Bombay,30916,export,cloths,1980
1784,Broadcloth,St_Helena,515,export,cloths,20
1784,Broadcloth,Benkulen,0,export,cloths,0
1784,Broadcloth,China,53718,export,cloths,2464
1784,Broadcloth,Angola,0,export,cloths,0
1784,Broadcloth,Penang,0,export,cloths,0
1784,Broadcloth,Java,0,export,cloths,0
1785,Broadcloth,Bengal,29914,export,cloths,1978
1785,Broadcloth,Madras,26121,export,cloths,1787
1785,Broadcloth,Bombay,31253,export,cloths,2000
1785,Broadcloth,St_Helena,275,export,cloths,12
1785,Broadcloth,Benkulen,0,export,cloths,0
1785,Broadcloth,China,67385,export,cloths,3220
1785,Broadcloth,Angola,0,export,cloths,0
1785,Broadcloth,Penang,0,export,cloths,0
1785,Broadcloth,Java,0,export,cloths,0
1786,Broadcloth,Bengal,15545,export,cloths,1030
1786,Broadcloth,Madras,19621,export,cloths,1358
1786,Broadcloth,Bombay,29517,export,cloths,1863
1786,Broadcloth,St_Helena,310,export,cloths,12
1786,Broadcloth,Benkulen,742,export,cloths,34
1786,Broadcloth,China,96078,export,cloths,4522
1786,Broadcloth,Angola,0,export,cloths,0
1786,Broadcloth,Penang,0,export,cloths,0
1786,Broadcloth,Java,0,export,cloths,0
1787,Broadcloth,Bengal,16266,export,cloths,953
1787,Broadcloth,Madras,22556,export,cloths,1440
1787,Broadcloth,Bombay,59178,export,cloths,3692
1787,Broadcloth,St_Helena,135,export,cloths,6
1787,Broadcloth,Benkulen,0,export,cloths,0
1787,Broadcloth,China,73546,export,cloths,3499
1787,Broadcloth,Angola,0,export,cloths,0
1787,Broadcloth,Penang,0,export,cloths,0
1787,Broadcloth,Java,0,export,cloths,0
1788,Broadcloth,Bengal,34205,export,cloths,2075
1788,Broadcloth,Madras,26453,export,cloths,1517
1788,Broadcloth,Bombay,27766,export,cloths,1668
1788,Broadcloth,St_Helena,410,export,cloths,16
1788,Broadcloth,Benkulen,0,export,cloths,0
1788,Broadcloth,China,86155,export,cloths,3875
1788,Broadcloth,Angola,0,export,cloths,0
1788,Broadcloth,Penang,0,export,cloths,0
1788,Broadcloth,Java,0,export,cloths,0
1789,Broadcloth,Bengal,34579,export,cloths,2035
1789,Broadcloth,Madras,18121,export,cloths,1007
1789,Broadcloth,Bombay,41876,export,cloths,2443
1789,Broadcloth,St_Helena,123,export,cloths,5
1789,Broadcloth,Benkulen,0,export,cloths,0
1789,Broadcloth,China,91161,export,cloths,4112
1789,Broadcloth,Angola,0,export,cloths,0
1789,Broadcloth,Penang,0,export,cloths,0
1789,Broadcloth,Java,0,export,cloths,0
1790,Broadcloth,Bengal,33696,export,cloths,2054
1790,Broadcloth,Madras,18082,export,cloths,1082
1790,Broadcloth,Bombay,17267,export,cloths,1036
